agent_version,all_passed,blocked,condition,coverage_json,denominator,end_reason,errors,evaluation_attempted,evaluation_completed,evaluation_id,evaluation_kind,evaluation_outcome,evaluation_validity,experiment_version,failed,input_tokens,ledger_hash,manifest_hash,measurement_state,missing_originals_json,missing_reason,model_id,observed_tokens,output_tokens,passed,phase,planned_run,quality_percent,results_hash,run_id,score_version,source_availability,state,submission_hash,telemetry_state,total_tokens,usage_complete,usage_hash,validity_reason,validity_record_hash,validity_registry_hash
1.0.83-5,,8,anti,"{""cause_references"": [{""adjudication_sha256"": ""de9a3126ad7c4408663f9cc2ec0790465863f1c97b43758f5e5a17d580a0698d"", ""case_id"": ""main"", ""evaluation_id"": ""T-002-02"", ""impact"": ""direct"", ""prerequisite_evaluation_ids"": null, ""prerequisite_requirements"": null, ""responsibility"": ""evaluator"", ""root_event"": 53}, {""adjudication_sha256"": ""de9a3126ad7c4408663f9cc2ec0790465863f1c97b43758f5e5a17d580a0698d"", ""case_id"": ""main"", ""evaluation_id"": ""T-004-03"", ""impact"": ""direct"", ""prerequisite_evaluation_ids"": null, ""prerequisite_requirements"": null, ""responsibility"": ""evaluator"", ""root_event"": 71}, {""adjudication_sha256"": ""de9a3126ad7c4408663f9cc2ec0790465863f1c97b43758f5e5a17d580a0698d"", ""case_id"": ""main"", ""evaluation_id"": ""T-006-01"", ""impact"": ""direct"", ""prerequisite_evaluation_ids"": null, ""prerequisite_requirements"": null, ""responsibility"": ""instruction_ambiguity"", ""root_event"": 172}, {""adjudication_sha256"": ""de9a3126ad7c4408663f9cc2ec0790465863f1c97b43758f5e5a17d580a0698d"", ""case_id"": ""main"", ""evaluation_id"": ""T-006-03"", ""impact"": ""direct"", ""prerequisite_evaluation_ids"": null, ""prerequisite_requirements"": null, ""responsibility"": ""instruction_ambiguity"", ""root_event"": 172}, {""adjudication_sha256"": ""de9a3126ad7c4408663f9cc2ec0790465863f1c97b43758f5e5a17d580a0698d"", ""case_id"": ""lower"", ""evaluation_id"": ""T-006-05"", ""impact"": ""direct"", ""prerequisite_evaluation_ids"": null, ""prerequisite_requirements"": null, ""responsibility"": ""instruction_ambiguity"", ""root_event"": 172}], ""causes"": {""none"": 33, ""requirement_unmet"": 8, ""target_discovery"": 8, ""unconfirmed"": 9}, ""coverage_unit"": ""required_case"", ""evaluation_attempted"": true, ""evaluation_completed"": true, ""features"": {""F-001"": {""business_assertion_reached"": 4, ""cases"": 4, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 4, ""raw_pass_ids"": 4, ""raw_quality_percent"": 100.0, ""target_ids"": 4, ""unknown"": 0}, ""F-002"": {""business_assertion_reached"": 4, ""cases"": 4, ""effective_quality_percent"": null, ""evaluation_unresolved"": 1, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 3, ""raw_pass_ids"": 3, ""raw_quality_percent"": 75.0, ""target_ids"": 4, ""unknown"": 0}, ""F-003"": {""business_assertion_reached"": 2, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 2, ""raw_pass_ids"": 2, ""raw_quality_percent"": 100.0, ""target_ids"": 2, ""unknown"": 0}, ""F-004"": {""business_assertion_reached"": 3, ""cases"": 3, ""effective_quality_percent"": null, ""evaluation_unresolved"": 1, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 2, ""raw_pass_ids"": 2, ""raw_quality_percent"": 66.66666666666667, ""target_ids"": 3, ""unknown"": 0}, ""F-005"": {""business_assertion_reached"": 2, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 2, ""raw_pass_ids"": 2, ""raw_quality_percent"": 100.0, ""target_ids"": 2, ""unknown"": 0}, ""F-006"": {""business_assertion_reached"": 7, ""cases"": 7, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 4, ""raw_pass_ids"": 3, ""raw_quality_percent"": 50.0, ""target_ids"": 6, ""unknown"": 0}, ""F-007"": {""business_assertion_reached"": 0, ""cases"": 3, ""effective_quality_percent"": null, ""evaluation_unresolved"": 3, ""prerequisite_blocked"": 3, ""raw_pass_cases"": 0, ""raw_pass_ids"": 0, ""raw_quality_percent"": 0.0, ""target_ids"": 3, ""unknown"": 0}, ""F-008"": {""business_assertion_reached"": 2, ""cases"": 4, ""effective_quality_percent"": null, ""evaluation_unresolved"": 2, ""prerequisite_blocked"": 2, ""raw_pass_cases"": 2, ""raw_pass_ids"": 2, ""raw_quality_percent"": 50.0, ""target_ids"": 4, ""unknown"": 0}, ""F-009"": {""business_assertion_reached"": 2, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 1, ""raw_pass_ids"": 1, ""raw_quality_percent"": 50.0, ""target_ids"": 2, ""unknown"": 0}, ""F-010"": {""business_assertion_reached"": 2, ""cases"": 3, ""effective_quality_percent"": null, ""evaluation_unresolved"": 1, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 2, ""raw_pass_ids"": 2, ""raw_quality_percent"": 66.66666666666667, ""target_ids"": 3, ""unknown"": 0}, ""F-011"": {""business_assertion_reached"": 0, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 2, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 0, ""raw_pass_ids"": 0, ""raw_quality_percent"": 0.0, ""target_ids"": 2, ""unknown"": 0}, ""F-012"": {""business_assertion_reached"": 1, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 1, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 0, ""raw_pass_ids"": 0, ""raw_quality_percent"": 0.0, ""target_ids"": 2, ""unknown"": 0}, ""F-013"": {""business_assertion_reached"": 0, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 2, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 0, ""raw_pass_ids"": 0, ""raw_quality_percent"": 0.0, ""target_ids"": 2, ""unknown"": 0}, ""F-014"": {""business_assertion_reached"": 1, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 1, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 0, ""raw_pass_ids"": 0, ""raw_quality_percent"": 0.0, ""target_ids"": 2, ""unknown"": 0}, ""F-015"": {""business_assertion_reached"": 0, ""cases"": 1, ""effective_quality_percent"": null, ""evaluation_unresolved"": 1, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 0, ""raw_pass_ids"": 0, ""raw_quality_percent"": 0.0, ""target_ids"": 1, ""unknown"": 0}, ""F-016"": {""business_assertion_reached"": 1, ""cases"": 3, ""effective_quality_percent"": null, ""evaluation_unresolved"": 2, ""prerequisite_blocked"": 2, ""raw_pass_cases"": 1, ""raw_pass_ids"": 1, ""raw_quality_percent"": 33.333333333333336, ""target_ids"": 3, ""unknown"": 0}, ""F-017"": {""business_assertion_reached"": 0, ""cases"": 2, ""effective_quality_percent"": null, ""evaluation_unresolved"": 2, ""prerequisite_blocked"": 1, ""raw_pass_cases"": 0, ""raw_pass_ids"": 0, ""raw_quality_percent"": 0.0, ""target_ids"": 2, ""unknown"": 0}, ""F-018"": {""business_assertion_reached"": 3, ""cases"": 3, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 3, ""raw_pass_ids"": 3, ""raw_quality_percent"": 100.0, ""target_ids"": 3, ""unknown"": 0}, ""F-019"": {""business_assertion_reached"": 3, ""cases"": 3, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 3, ""raw_pass_ids"": 3, ""raw_quality_percent"": 100.0, ""target_ids"": 3, ""unknown"": 0}, ""F-020"": {""business_assertion_reached"": 4, ""cases"": 4, ""effective_quality_percent"": null, ""evaluation_unresolved"": 0, ""prerequisite_blocked"": 0, ""raw_pass_cases"": 4, ""raw_pass_ids"": 4, ""raw_quality_percent"": 100.0, ""target_ids"": 4, ""unknown"": 0}}, ""fixed_ids"": 57, ""measurement_state"": ""invalid"", ""required_cases"": 58, ""responsibilities"": {""evaluator"": 2, ""instruction_ambiguity"": 3, ""none"": 33, ""unconfirmed"": 20}, ""schema_version"": 2}",57,agent_error,0,True,True,55cb359f-b3d4-4718-9ff0-7d22e8a8d291,evaluation,completed,invalid,copilot-acquisition10-20260910-muse-spark-1.2-contributor,17,,968bfe696a89e1d0490fb08d03c6e6797769955bb73ba10249e7a53efe841b66,6c99ace7e480afc99bb258c6524a757185fd9d70234a0d65c4b5e7c955146932,invalid,[],"usage incomplete; Confirmed evaluator button/link and validation-timing constraints; raw retained, effective quality null.",muse-spark-1.2-contributor,7168678,,32,data-acquisition,anti-001,,577f5ec898b0d78c33cf35380fdf3b6e3345a5ae6e66fef6c75760a640f80576,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,a097b9baf7bfa605cb054deac151be6ade1b88bcdcb36f6fce89685e199d3cc3,verified,failed,f21b262efb7e3e444d3bb9cc2176ccdc45cb4b501d6ebe3e9076cda047cbcd6a,readback_verified,,False,a08f6146fd2154361c0d951c0e86dd10b4b975a8a6faeb6008863942e737d9be,"Confirmed evaluator button/link and validation-timing constraints; raw retained, effective quality null.",802a1140c3b312e032dca1bae3485a50a75cb0bf74caf95e10e985424dbf9348,c62e74efc1373281ea28dadb7f805678a09ae2e6a773ec70b978418fb49cf50e
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-001,,,unstarted:normal-001,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-002,,,unstarted:normal-002,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-002,,,unstarted:anti-002,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-003,,,unstarted:anti-003,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-003,,,unstarted:normal-003,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-004,,,unstarted:anti-004,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-004,,,unstarted:normal-004,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-005,,,unstarted:normal-005,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-005,,,unstarted:anti-005,,not_acquired,not_started,,not_acquired,,False,,,,
