planned_run,run_id,condition,feature_id,requested_ids,passed_ids,pass_percent
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-001,4,4,100.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-002,4,3,75.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-003,2,2,100.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-004,3,2,66.66666666666667
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-005,2,2,100.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-006,6,3,50.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-007,3,0,0.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-008,4,2,50.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-009,2,1,50.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-010,3,2,66.66666666666667
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-011,2,0,0.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-012,2,0,0.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-013,2,0,0.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-014,2,0,0.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-015,1,0,0.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-016,3,1,33.333333333333336
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-017,2,0,0.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-018,3,3,100.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-019,3,3,100.0
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,F-020,4,4,100.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-001,4,0,0.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-002,4,3,75.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-003,2,2,100.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-004,3,2,66.66666666666667
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-005,2,1,50.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-006,6,3,50.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-007,3,3,100.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-008,4,4,100.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-009,2,1,50.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-010,3,2,66.66666666666667
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-011,2,0,0.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-012,2,0,0.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-013,2,0,0.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-014,2,0,0.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-015,1,0,0.0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-016,3,2,66.66666666666667
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,F-017,2,2,100.0
