feature_id,feature_title,condition,requested_ids,passed_ids,pass_percent
F-001,ユーザー登録,anti,40,31,77.5
F-001,ユーザー登録,normal,40,36,90.0
F-002,ログイン・ログアウト,anti,40,27,67.5
F-002,ログイン・ログアウト,normal,40,28,70.0
F-003,申請書の新規作成,anti,20,12,60.0
F-003,申請書の新規作成,normal,20,11,55.0
F-004,申請内容の入力・編集,anti,30,10,33.333333333333336
F-004,申請内容の入力・編集,normal,30,13,43.333333333333336
F-005,申請の下書き保存,anti,20,10,50.0
F-005,申請の下書き保存,normal,20,16,80.0
F-006,申請の提出（申請番号採番・承認者決定）,anti,60,22,36.666666666666664
F-006,申請の提出（申請番号採番・承認者決定）,normal,60,59,98.33333333333333
F-007,申請一覧表示,anti,30,9,30.0
F-007,申請一覧表示,normal,30,13,43.333333333333336
F-008,申請の検索・絞り込み,anti,40,20,50.0
F-008,申請の検索・絞り込み,normal,40,28,70.0
F-009,申請詳細表示,anti,20,9,45.0
F-009,申請詳細表示,normal,20,14,70.0
F-010,承認者による承認処理,anti,30,13,43.333333333333336
F-010,承認者による承認処理,normal,30,24,80.0
F-011,承認者による差し戻し処理,anti,20,1,5.0
F-011,承認者による差し戻し処理,normal,20,14,70.0
F-012,申請者による申請取り消し,anti,20,0,0.0
F-012,申請者による申請取り消し,normal,20,15,75.0
F-013,申請ステータス管理（遷移定義）,anti,20,0,0.0
F-013,申請ステータス管理（遷移定義）,normal,20,10,50.0
F-014,メール通知,anti,20,0,0.0
F-014,メール通知,normal,20,18,90.0
F-015,承認履歴表示,anti,10,0,0.0
F-015,承認履歴表示,normal,10,0,0.0
F-016,CSVエクスポート,anti,30,11,36.666666666666664
F-016,CSVエクスポート,normal,30,14,46.666666666666664
F-017,ダッシュボード,anti,20,6,30.0
F-017,ダッシュボード,normal,20,3,15.0
F-018,ユーザー一覧・編集（管理者機能）,anti,30,24,80.0
F-018,ユーザー一覧・編集（管理者機能）,normal,30,29,96.66666666666667
F-019,パスワード変更,anti,30,22,73.33333333333333
F-019,パスワード変更,normal,30,26,86.66666666666667
F-020,システム設定（管理者機能）,anti,40,31,77.5
F-020,システム設定（管理者機能）,normal,40,31,77.5
