excluded_pair,token_difference,passed_difference,score_difference_pp
1,-847707.3333333334,-16.11111111111111,-28.265107212475638
2,-1255058.111111111,-14.11111111111111,-24.756335282651076
3,-1081812.3333333333,-14.555555555555555,-25.536062378167646
4,-686559.3333333334,-11.666666666666666,-20.467836257309944
5,-702396,-13.666666666666666,-23.976608187134506
6,-596953.6666666666,-14.777777777777779,-25.92592592592593
7,-853577.2222222222,-15,-26.315789473684212
8,-672458.5555555555,-15,-26.315789473684212
9,-788160,-16,-28.070175438596497
10,-767938.4444444445,-13.11111111111111,-23.001949317738795
