pair_id,first_condition,normal_run,anti_run,normal_run_id,anti_run_id,normal_tokens,anti_tokens,token_difference,normal_passed,anti_passed,passed_difference,score_difference_pp
1,anti,normal-001,anti-001,daedcc21-8243-4234-8df7-945db1b684c0,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,7791933,7168678,-623255,31,32,1,1.7543859649122808
2,normal,normal-002,anti-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,11440dd4-c70f-466e-b37a-96376727430e,5938760,8981662,3042902,50,33,-17,-29.82456140350878
3,anti,normal-003,anti-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,7642137,9125827,1483690,42,29,-13,-22.807017543859658
4,anti,normal-004,anti-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,47b5dc69-6cad-48e4-9959-339ef37bccd4,7165382,5091795,-2073587,42,3,-39,-68.42105263157896
5,normal,normal-005,anti-005,4fec6537-4704-46a5-a732-8ea312b2551c,600f4ba8-acdf-42ae-99e7-c86b95372d7e,7257799,5326742,-1931057,42,21,-21,-36.8421052631579
6,normal,normal-006,anti-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,6af34679-56f4-46d3-96f9-270931c32699,9080470,6200432,-2880038,37,26,-11,-19.298245614035082
7,normal,normal-007,anti-007,09dbcec8-c9c3-49ec-921c-766894607e07,76cac053-f623-45d1-96ff-c77edf4a0bee,5014337,4443911,-570426,40,31,-9,-15.789473684210535
8,anti,normal-008,anti-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,6165950,3965456,-2200494,40,31,-9,-15.789473684210535
9,anti,normal-009,anti-009,b8bb85c7-e468-42ff-ad70-e10746737b87,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,7238639,6079458,-1159181,39,39,0,0.0
10,anti,normal-010,anti-010,ba9b31f3-7a29-4fad-ac2d-bba3bac61a0f,7e5974e1-e419-4e9d-96f3-332c91617c78,7991897,6650722,-1341175,39,13,-26,-45.614035087719294
