planned_run,run_id,condition,test_id,case_id,status
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,T-006-01,main,fail
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,T-006-02,main,pass
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,T-006-03,main,fail
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,T-006-04,main,pass
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,T-006-05,lower,fail
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,T-006-05,upper,pass
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,T-006-01,main,fail
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,T-006-02,main,pass
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,T-006-03,main,fail
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,T-006-04,main,pass
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,T-006-05,lower,fail
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,T-006-05,upper,pass
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,T-006-01,main,fail
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,T-006-02,main,pass
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,T-006-03,main,fail
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,T-006-04,main,pass
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,T-006-05,lower,fail
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,T-006-05,upper,pass
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,T-006-01,main,blocked
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,T-006-02,main,blocked
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,T-006-03,main,blocked
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,T-006-04,main,blocked
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,T-006-05,lower,blocked
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,T-006-05,upper,blocked
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,T-006-01,main,blocked
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,T-006-02,main,blocked
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,T-006-03,main,blocked
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,T-006-04,main,blocked
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,T-006-05,lower,blocked
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,T-006-05,upper,blocked
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,T-006-01,main,fail
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,T-006-02,main,pass
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,T-006-03,main,fail
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,T-006-04,main,pass
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,T-006-05,lower,fail
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,T-006-05,upper,pass
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,T-006-01,main,fail
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,T-006-02,main,pass
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,T-006-03,main,fail
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,T-006-04,main,pass
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,T-006-05,lower,fail
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,T-006-05,upper,pass
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,T-006-01,main,fail
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,T-006-02,main,pass
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,T-006-03,main,fail
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,T-006-04,main,pass
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,T-006-05,lower,fail
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,T-006-05,upper,pass
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,T-006-01,main,fail
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,T-006-02,main,pass
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,T-006-03,main,fail
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,T-006-04,main,pass
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,T-006-05,lower,fail
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,T-006-05,upper,pass
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,T-006-01,main,fail
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,T-006-02,main,fail
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,T-006-03,main,fail
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,T-006-04,main,fail
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,T-006-05,lower,fail
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,T-006-05,upper,fail
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,T-006-01,main,pass
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,T-006-02,main,pass
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,T-006-03,main,pass
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,T-006-04,main,pass
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,T-006-05,lower,pass
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,T-006-05,upper,pass
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,T-006-01,main,pass
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,T-006-02,main,pass
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,T-006-03,main,pass
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,T-006-04,main,pass
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,T-006-05,lower,pass
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,T-006-05,upper,pass
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,T-006-01,main,pass
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,T-006-02,main,pass
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,T-006-03,main,pass
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,T-006-04,main,pass
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,T-006-05,lower,pass
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,T-006-05,upper,pass
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,T-006-01,main,pass
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,T-006-02,main,pass
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,T-006-03,main,pass
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,T-006-04,main,pass
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,T-006-05,lower,pass
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,T-006-05,upper,pass
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,T-006-01,main,pass
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,T-006-02,main,pass
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,T-006-03,main,pass
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,T-006-04,main,pass
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,T-006-05,lower,pass
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,T-006-05,upper,pass
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,T-006-01,main,pass
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,T-006-02,main,pass
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,T-006-03,main,pass
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,T-006-04,main,pass
