condition,feature_id,feature_title,ids_per_run,passed_ids,requested_ids,recorded_pass_rate
normal,F-001,ユーザー登録,4,36,40,90.0
normal,F-002,ログイン・ログアウト,4,28,40,70.0
normal,F-003,申請書の新規作成,2,11,20,55.0
normal,F-004,申請内容の入力・編集,3,13,30,43.333333333333336
normal,F-005,申請の下書き保存,2,16,20,80.0
normal,F-006,申請の提出（申請番号採番・承認者決定）,6,59,60,98.33333333333333
normal,F-007,申請一覧表示,3,13,30,43.333333333333336
normal,F-008,申請の検索・絞り込み,4,28,40,70.0
normal,F-009,申請詳細表示,2,14,20,70.0
normal,F-010,承認者による承認処理,3,24,30,80.0
normal,F-011,承認者による差し戻し処理,2,14,20,70.0
normal,F-012,申請者による申請取り消し,2,15,20,75.0
normal,F-013,申請ステータス管理（遷移定義）,2,10,20,50.0
normal,F-014,メール通知,2,18,20,90.0
normal,F-015,承認履歴表示,1,0,10,0.0
normal,F-016,CSVエクスポート,3,14,30,46.666666666666664
normal,F-017,ダッシュボード,2,3,20,15.0
normal,F-018,ユーザー一覧・編集（管理者機能）,3,29,30,96.66666666666667
normal,F-019,パスワード変更,3,26,30,86.66666666666667
normal,F-020,システム設定（管理者機能）,4,31,40,77.5
anti,F-001,ユーザー登録,4,31,40,77.5
anti,F-002,ログイン・ログアウト,4,27,40,67.5
anti,F-003,申請書の新規作成,2,12,20,60.0
anti,F-004,申請内容の入力・編集,3,10,30,33.333333333333336
anti,F-005,申請の下書き保存,2,10,20,50.0
anti,F-006,申請の提出（申請番号採番・承認者決定）,6,22,60,36.666666666666664
anti,F-007,申請一覧表示,3,9,30,30.0
anti,F-008,申請の検索・絞り込み,4,20,40,50.0
anti,F-009,申請詳細表示,2,9,20,45.0
anti,F-010,承認者による承認処理,3,13,30,43.333333333333336
anti,F-011,承認者による差し戻し処理,2,1,20,5.0
anti,F-012,申請者による申請取り消し,2,0,20,0.0
anti,F-013,申請ステータス管理（遷移定義）,2,0,20,0.0
anti,F-014,メール通知,2,0,20,0.0
anti,F-015,承認履歴表示,1,0,10,0.0
anti,F-016,CSVエクスポート,3,11,30,36.666666666666664
anti,F-017,ダッシュボード,2,6,20,30.0
anti,F-018,ユーザー一覧・編集（管理者機能）,3,24,30,80.0
anti,F-019,パスワード変更,3,22,30,73.33333333333333
anti,F-020,システム設定（管理者機能）,4,31,40,77.5
