run_id,planned_run,condition,test_id,feature_id,category,dependency_group,required_cases,passed
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-001-01,F-001,normal,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-001-02,F-001,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-001-03,F-001,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-001-04,F-001,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-002-01,F-002,normal,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-002-02,F-002,normal,other,1,0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-002-03,F-002,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-002-04,F-002,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-003-01,F-003,normal,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-003-02,F-003,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-004-01,F-004,normal,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-004-02,F-004,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-004-03,F-004,negative,other,1,0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-005-01,F-005,normal,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-005-02,F-005,normal,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-006-01,F-006,normal,direct_threshold,1,0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-006-02,F-006,normal,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-006-03,F-006,boundary,direct_threshold,1,0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-006-04,F-006,boundary,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-006-05,F-006,boundary,direct_threshold,2,0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-006-06,F-006,negative,other,1,1
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,T-007-01,F-007,normal,other,1,0
