planned_run,run_id,condition,recorded_threshold_yen,static_threshold_yen,conflict_recorded,saved_threshold_pattern_matches
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,500000,500000,True,True
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,1000000,1000000,False,False
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,1000000,1000000,False,False
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,500000,500000,True,True
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,500000,500000,True,True
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,1000000,1000000,False,False
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,500000,500000,True,False
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,1000000,1000000,False,False
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,1000000,1000000,False,False
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,500000,500000,True,False
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,1000000,1000000,False,False
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,500000,500000,True,True
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,1000000,1000000,False,False
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,500000,500000,True,True
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,500000,500000,True,True
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,1000000,1000000,False,False
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,500000,500000,True,True
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,1000000,1000000,False,False
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,500000,500000,True,False
normal-010,ba9b31f3-7a29-4fad-ac2d-bba3bac61a0f,normal,1000000,1000000,False,False
