pair_id,first_condition,normal_run,anti_run,normal_tokens,anti_tokens,normal_passed,anti_passed,token_difference,passed_difference,pass_rate_difference_pp
1,anti,normal-001,anti-001,7791933,7168678,31,32,-623255,1,1.7543859649122808
2,normal,normal-002,anti-002,5938760,8981662,50,33,3042902,-17,-29.82456140350878
3,anti,normal-003,anti-003,7642137,9125827,42,29,1483690,-13,-22.807017543859658
4,anti,normal-004,anti-004,7165382,5091795,42,3,-2073587,-39,-68.42105263157896
5,normal,normal-005,anti-005,7257799,5326742,42,21,-1931057,-21,-36.8421052631579
6,normal,normal-006,anti-006,9080470,6200432,37,26,-2880038,-11,-19.298245614035082
7,normal,normal-007,anti-007,5014337,4443911,40,31,-570426,-9,-15.789473684210535
8,anti,normal-008,anti-008,6165950,3965456,40,31,-2200494,-9,-15.789473684210535
9,anti,normal-009,anti-009,7238639,6079458,39,39,-1159181,0,0.0
10,anti,normal-010,anti-010,7991897,6650722,39,13,-1341175,-26,-45.614035087719294
