stratum,model,condition,feature_id,title,n,ids_per_run,mean_pass_rate
previous,all,normal,F-001,ユーザー登録,10,4,90.0
previous,all,normal,F-002,ログイン・ログアウト,10,4,70.0
previous,all,normal,F-003,申請書の新規作成,10,2,55.0
previous,all,normal,F-004,申請内容の入力・編集,10,3,43.333333333333336
previous,all,normal,F-005,申請の下書き保存,10,2,80.0
previous,all,normal,F-006,申請の提出（申請番号採番・承認者決定）,10,6,98.33333333333333
previous,all,normal,F-007,申請一覧表示,10,3,43.333333333333336
previous,all,normal,F-008,申請の検索・絞り込み,10,4,70.0
previous,all,normal,F-009,申請詳細表示,10,2,70.0
previous,all,normal,F-010,承認者による承認処理,10,3,80.0
previous,all,normal,F-011,承認者による差し戻し処理,10,2,70.0
previous,all,normal,F-012,申請者による申請取り消し,10,2,75.0
previous,all,normal,F-013,申請ステータス管理（遷移定義）,10,2,50.0
previous,all,normal,F-014,メール通知,10,2,90.0
previous,all,normal,F-015,承認履歴表示,10,1,0.0
previous,all,normal,F-016,CSVエクスポート,10,3,46.66666666666667
previous,all,normal,F-017,ダッシュボード,10,2,15.0
previous,all,normal,F-018,ユーザー一覧・編集（管理者機能）,10,3,96.66666666666667
previous,all,normal,F-019,パスワード変更,10,3,86.66666666666667
previous,all,normal,F-020,システム設定（管理者機能）,10,4,77.5
previous,all,anti,F-001,ユーザー登録,10,4,77.5
previous,all,anti,F-002,ログイン・ログアウト,10,4,67.5
previous,all,anti,F-003,申請書の新規作成,10,2,60.0
previous,all,anti,F-004,申請内容の入力・編集,10,3,33.333333333333336
previous,all,anti,F-005,申請の下書き保存,10,2,50.0
previous,all,anti,F-006,申請の提出（申請番号採番・承認者決定）,10,6,36.666666666666664
previous,all,anti,F-007,申請一覧表示,10,3,30.0
previous,all,anti,F-008,申請の検索・絞り込み,10,4,50.0
previous,all,anti,F-009,申請詳細表示,10,2,45.0
previous,all,anti,F-010,承認者による承認処理,10,3,43.333333333333336
previous,all,anti,F-011,承認者による差し戻し処理,10,2,5.0
previous,all,anti,F-012,申請者による申請取り消し,10,2,0.0
previous,all,anti,F-013,申請ステータス管理（遷移定義）,10,2,0.0
previous,all,anti,F-014,メール通知,10,2,0.0
previous,all,anti,F-015,承認履歴表示,10,1,0.0
previous,all,anti,F-016,CSVエクスポート,10,3,36.66666666666667
previous,all,anti,F-017,ダッシュボード,10,2,30.0
previous,all,anti,F-018,ユーザー一覧・編集（管理者機能）,10,3,80.0
previous,all,anti,F-019,パスワード変更,10,3,73.33333333333334
previous,all,anti,F-020,システム設定（管理者機能）,10,4,77.5
previous,muse-spark-1.2-contributor,normal,F-001,ユーザー登録,10,4,90.0
previous,muse-spark-1.2-contributor,normal,F-002,ログイン・ログアウト,10,4,70.0
previous,muse-spark-1.2-contributor,normal,F-003,申請書の新規作成,10,2,55.0
previous,muse-spark-1.2-contributor,normal,F-004,申請内容の入力・編集,10,3,43.333333333333336
previous,muse-spark-1.2-contributor,normal,F-005,申請の下書き保存,10,2,80.0
previous,muse-spark-1.2-contributor,normal,F-006,申請の提出（申請番号採番・承認者決定）,10,6,98.33333333333333
previous,muse-spark-1.2-contributor,normal,F-007,申請一覧表示,10,3,43.333333333333336
previous,muse-spark-1.2-contributor,normal,F-008,申請の検索・絞り込み,10,4,70.0
previous,muse-spark-1.2-contributor,normal,F-009,申請詳細表示,10,2,70.0
previous,muse-spark-1.2-contributor,normal,F-010,承認者による承認処理,10,3,80.0
previous,muse-spark-1.2-contributor,normal,F-011,承認者による差し戻し処理,10,2,70.0
previous,muse-spark-1.2-contributor,normal,F-012,申請者による申請取り消し,10,2,75.0
previous,muse-spark-1.2-contributor,normal,F-013,申請ステータス管理（遷移定義）,10,2,50.0
previous,muse-spark-1.2-contributor,normal,F-014,メール通知,10,2,90.0
previous,muse-spark-1.2-contributor,normal,F-015,承認履歴表示,10,1,0.0
previous,muse-spark-1.2-contributor,normal,F-016,CSVエクスポート,10,3,46.66666666666667
previous,muse-spark-1.2-contributor,normal,F-017,ダッシュボード,10,2,15.0
previous,muse-spark-1.2-contributor,normal,F-018,ユーザー一覧・編集（管理者機能）,10,3,96.66666666666667
previous,muse-spark-1.2-contributor,normal,F-019,パスワード変更,10,3,86.66666666666667
previous,muse-spark-1.2-contributor,normal,F-020,システム設定（管理者機能）,10,4,77.5
previous,muse-spark-1.2-contributor,anti,F-001,ユーザー登録,10,4,77.5
previous,muse-spark-1.2-contributor,anti,F-002,ログイン・ログアウト,10,4,67.5
previous,muse-spark-1.2-contributor,anti,F-003,申請書の新規作成,10,2,60.0
previous,muse-spark-1.2-contributor,anti,F-004,申請内容の入力・編集,10,3,33.333333333333336
previous,muse-spark-1.2-contributor,anti,F-005,申請の下書き保存,10,2,50.0
previous,muse-spark-1.2-contributor,anti,F-006,申請の提出（申請番号採番・承認者決定）,10,6,36.666666666666664
previous,muse-spark-1.2-contributor,anti,F-007,申請一覧表示,10,3,30.0
previous,muse-spark-1.2-contributor,anti,F-008,申請の検索・絞り込み,10,4,50.0
previous,muse-spark-1.2-contributor,anti,F-009,申請詳細表示,10,2,45.0
previous,muse-spark-1.2-contributor,anti,F-010,承認者による承認処理,10,3,43.333333333333336
previous,muse-spark-1.2-contributor,anti,F-011,承認者による差し戻し処理,10,2,5.0
previous,muse-spark-1.2-contributor,anti,F-012,申請者による申請取り消し,10,2,0.0
previous,muse-spark-1.2-contributor,anti,F-013,申請ステータス管理（遷移定義）,10,2,0.0
previous,muse-spark-1.2-contributor,anti,F-014,メール通知,10,2,0.0
previous,muse-spark-1.2-contributor,anti,F-015,承認履歴表示,10,1,0.0
previous,muse-spark-1.2-contributor,anti,F-016,CSVエクスポート,10,3,36.66666666666667
previous,muse-spark-1.2-contributor,anti,F-017,ダッシュボード,10,2,30.0
previous,muse-spark-1.2-contributor,anti,F-018,ユーザー一覧・編集（管理者機能）,10,3,80.0
previous,muse-spark-1.2-contributor,anti,F-019,パスワード変更,10,3,73.33333333333334
previous,muse-spark-1.2-contributor,anti,F-020,システム設定（管理者機能）,10,4,77.5
additional,all,normal,F-001,ユーザー登録,18,4,90.27777777777777
additional,all,normal,F-002,ログイン・ログアウト,18,4,66.66666666666667
additional,all,normal,F-003,申請書の新規作成,18,2,72.22222222222223
additional,all,normal,F-004,申請内容の入力・編集,18,3,53.70370370370371
additional,all,normal,F-005,申請の下書き保存,18,2,33.333333333333336
additional,all,normal,F-006,申請の提出（申請番号採番・承認者決定）,18,6,79.62962962962963
additional,all,normal,F-007,申請一覧表示,18,3,66.66666666666667
additional,all,normal,F-008,申請の検索・絞り込み,18,4,76.38888888888889
additional,all,normal,F-009,申請詳細表示,18,2,50.0
additional,all,normal,F-010,承認者による承認処理,18,3,70.37037037037037
additional,all,normal,F-011,承認者による差し戻し処理,18,2,55.55555555555556
additional,all,normal,F-012,申請者による申請取り消し,18,2,63.888888888888886
additional,all,normal,F-013,申請ステータス管理（遷移定義）,18,2,41.666666666666664
additional,all,normal,F-014,メール通知,18,2,72.22222222222223
additional,all,normal,F-015,承認履歴表示,18,1,5.555555555555555
additional,all,normal,F-016,CSVエクスポート,18,3,48.14814814814815
additional,all,normal,F-017,ダッシュボード,18,2,47.22222222222222
additional,all,normal,F-018,ユーザー一覧・編集（管理者機能）,18,3,75.92592592592592
additional,all,normal,F-019,パスワード変更,18,3,77.77777777777779
additional,all,normal,F-020,システム設定（管理者機能）,18,4,70.83333333333333
additional,all,anti,F-001,ユーザー登録,19,4,88.15789473684211
additional,all,anti,F-002,ログイン・ログアウト,19,4,63.1578947368421
additional,all,anti,F-003,申請書の新規作成,19,2,57.89473684210526
additional,all,anti,F-004,申請内容の入力・編集,19,3,35.08771929824562
additional,all,anti,F-005,申請の下書き保存,19,2,50.0
additional,all,anti,F-006,申請の提出（申請番号採番・承認者決定）,19,6,37.719298245614034
additional,all,anti,F-007,申請一覧表示,19,3,45.6140350877193
additional,all,anti,F-008,申請の検索・絞り込み,19,4,59.21052631578947
additional,all,anti,F-009,申請詳細表示,19,2,63.1578947368421
additional,all,anti,F-010,承認者による承認処理,19,3,49.12280701754386
additional,all,anti,F-011,承認者による差し戻し処理,19,2,0.0
