stratum,model,condition,group,n,passed,ids,mean_passed_ids,pass_rate
previous,all,normal,direct_threshold,10,30,30,3.0,100.0
previous,all,normal,downstream_threshold,10,61,100,6.1,61.0
previous,all,normal,other,10,311,440,31.1,70.68181818181819
previous,all,anti,direct_threshold,10,0,30,0.0,0.0
previous,all,anti,downstream_threshold,10,1,100,0.1,1.0
previous,all,anti,other,10,257,440,25.7,58.40909090909091
previous,muse-spark-1.2-contributor,normal,direct_threshold,10,30,30,3.0,100.0
previous,muse-spark-1.2-contributor,normal,downstream_threshold,10,61,100,6.1,61.0
previous,muse-spark-1.2-contributor,normal,other,10,311,440,31.1,70.68181818181819
previous,muse-spark-1.2-contributor,anti,direct_threshold,10,0,30,0.0,0.0
previous,muse-spark-1.2-contributor,anti,downstream_threshold,10,1,100,0.1,1.0
previous,muse-spark-1.2-contributor,anti,other,10,257,440,25.7,58.40909090909091
additional,all,normal,direct_threshold,18,42,54,2.3333333333333335,77.77777777777777
additional,all,normal,downstream_threshold,18,95,180,5.277777777777778,52.77777777777778
additional,all,normal,other,18,538,792,29.88888888888889,67.92929292929293
additional,all,anti,direct_threshold,19,0,57,0.0,0.0
additional,all,anti,downstream_threshold,19,0,190,0.0,0.0
additional,all,anti,other,19,510,836,26.842105263157894,61.004784688995215
additional,muse-spark-1.2-contributor,normal,direct_threshold,18,42,54,2.3333333333333335,77.77777777777777
additional,muse-spark-1.2-contributor,normal,downstream_threshold,18,95,180,5.277777777777778,52.77777777777778
additional,muse-spark-1.2-contributor,normal,other,18,538,792,29.88888888888889,67.92929292929293
additional,muse-spark-1.2-contributor,anti,direct_threshold,19,0,57,0.0,0.0
additional,muse-spark-1.2-contributor,anti,downstream_threshold,19,0,190,0.0,0.0
additional,muse-spark-1.2-contributor,anti,other,19,510,836,26.842105263157894,61.004784688995215
cumulative,all,normal,direct_threshold,28,72,84,2.5714285714285716,85.71428571428571
cumulative,all,normal,downstream_threshold,28,156,280,5.571428571428571,55.714285714285715
cumulative,all,normal,other,28,849,1232,30.321428571428573,68.91233766233766
cumulative,all,anti,direct_threshold,29,0,87,0.0,0.0
cumulative,all,anti,downstream_threshold,29,1,290,0.034482758620689655,0.3448275862068966
cumulative,all,anti,other,29,767,1276,26.448275862068964,60.10971786833856
cumulative,muse-spark-1.2-contributor,normal,direct_threshold,28,72,84,2.5714285714285716,85.71428571428571
cumulative,muse-spark-1.2-contributor,normal,downstream_threshold,28,156,280,5.571428571428571,55.714285714285715
cumulative,muse-spark-1.2-contributor,normal,other,28,849,1232,30.321428571428573,68.91233766233766
cumulative,muse-spark-1.2-contributor,anti,direct_threshold,29,0,87,0.0,0.0
cumulative,muse-spark-1.2-contributor,anti,downstream_threshold,29,1,290,0.034482758620689655,0.3448275862068966
cumulative,muse-spark-1.2-contributor,anti,other,29,767,1276,26.448275862068964,60.10971786833856
