excluded_pair,token_difference,pass_rate_difference_pp
previous/1,-2710059.620689655,-20.64777327935223
previous/2,-2836478.827586207,-19.433198380566804
previous/3,-2782712.896551724,-19.703103913630233
previous/4,-2660048.172413793,-17.948717948717952
previous/5,-2664963,-19.163292847503378
previous/6,-2632239.5172413792,-19.838056680161948
previous/7,-2711881.3103448274,-19.97300944669366
previous/8,-2655672.0689655175,-19.97300944669366
previous/9,-2691579.4137931033,-20.580296896086374
previous/10,-2685303.7586206896,-18.825910931174093
additional/1,-886857.5862068966,-19.818063677712804
additional/2,-2737097.1379310344,-19.77058029689609
additional/3,-3105135.5862068967,-21.7948717948718
additional/4,-2509195.5172413792,-19.500674763832663
additional/5,-2824590.7586206896,-19.905533063427804
additional/6,-2889879.379310345,-19.818063677712804
additional/7,-2789023.896551724,-21.12010796221323
additional/8,-2630027.5862068967,-20.580296896086374
additional/9,-2863724.827586207,-20.64777327935223
additional/10,-2872904.4137931033,-17.611336032388667
additional/11,-2688686.724137931,-19.433198380566804
additional/12,-2680769.8620689656,-20.175438596491233
additional/13,-2703300.206896552,-20.175438596491233
additional/14,-2579754.724137931,-20.512820512820515
additional/15,-2644417.1379310344,-19.163292847503378
additional/16,-2387392,-19.818063677712804
additional/17,-2472947.793103448,-18.758434547908237
additional/18,-2713000.5517241377,-22.537112010796225
additional/19,-2546351.206896552,-19.905533063427804
additional/20,-2658988.5172413792,-17.408906882591097
