batch,pair_id,pair_key,normal_slot,anti_slot,primary_model_pair,first_condition,token_difference,passed_difference,pass_rate_difference_pp
previous,1,previous/1,previous/normal-001,previous/anti-001,True,anti,-623255,1,1.7543859649122808
previous,2,previous/2,previous/normal-002,previous/anti-002,True,normal,3042902,-17,-29.82456140350878
previous,3,previous/3,previous/normal-003,previous/anti-003,True,anti,1483690,-13,-22.807017543859658
previous,4,previous/4,previous/normal-004,previous/anti-004,True,anti,-2073587,-39,-68.42105263157896
previous,5,previous/5,previous/normal-005,previous/anti-005,True,normal,-1931057,-21,-36.8421052631579
previous,6,previous/6,previous/normal-006,previous/anti-006,True,normal,-2880038,-11,-19.298245614035082
previous,7,previous/7,previous/normal-007,previous/anti-007,True,normal,-570426,-9,-15.789473684210535
previous,8,previous/8,previous/normal-008,previous/anti-008,True,anti,-2200494,-9,-15.789473684210535
previous,9,previous/9,previous/normal-009,previous/anti-009,True,anti,-1159181,0,0.0
previous,10,previous/10,previous/normal-010,previous/anti-010,True,anti,-1341175,-26,-45.614035087719294
additional,1,additional/1,additional/normal-001,additional/anti-001,True,normal,-53496114,,
additional,2,additional/2,additional/normal-002,additional/anti-002,True,anti,160833,-12,-21.05263157894737
additional,3,additional/3,additional/normal-003,additional/anti-003,True,normal,10833948,18,31.578947368421048
additional,4,additional/4,additional/normal-004,additional/anti-004,True,anti,-6448314,-16,-28.0701754385965
additional,5,additional/5,additional/normal-005,additional/anti-005,True,anti,2698148,-10,-17.54385964912281
additional,6,additional/6,additional/normal-006,additional/anti-006,True,normal,4591518,,
additional,7,additional/7,additional/normal-007,additional/anti-007,True,normal,1666709,8,14.03508771929825
additional,8,additional/8,additional/normal-008,additional/anti-008,True,normal,-2944184,0,0.0
additional,9,additional/9,additional/normal-009,additional/anti-009,True,normal,3833036,1,1.754385964912288
additional,10,additional/10,additional/normal-010,additional/anti-010,True,anti,4099244,-44,-77.19298245614036
additional,11,additional/11,additional/normal-011,additional/anti-011,True,normal,-1243069,-17,-29.82456140350878
additional,12,additional/12,additional/normal-012,additional/anti-012,True,anti,-1472658,-6,-10.526315789473692
additional,13,additional/13,additional/normal-013,additional/anti-013,True,normal,-819278,-6,-10.526315789473685
additional,14,additional/14,additional/normal-014,additional/anti-014,True,normal,-4402097,-1,-1.754385964912288
additional,15,additional/15,additional/normal-015,additional/anti-015,True,anti,-2526887,-21,-36.84210526315789
additional,16,additional/16,additional/normal-016,additional/anti-016,True,normal,-9980616,,
additional,17,additional/17,additional/normal-017,additional/anti-017,True,normal,-7499498,-27,-47.368421052631575
additional,18,additional/18,additional/normal-018,additional/anti-018,True,normal,-537968,29,50.87719298245614
additional,19,additional/19,additional/normal-019,additional/anti-019,True,anti,-5370799,-10,-17.543859649122815
additional,20,additional/20,additional/normal-020,additional/anti-020,True,normal,-2104317,-47,-82.4561403508772
