slot_key,run_id,batch,planned_run,condition,pair_id,pair_key,execution_order,first_condition,model_id,recorded_total_tokens,source_total_tokens,source_usage_complete,source_passed_ids,evaluation_outcome,score_available,passed_ids,recorded_pass_rate,effective_quality,evaluation_validity,evaluation_uuid,evaluation_completed,raw_end_reason,exit_code,stop_trigger,stop_method,elapsed_seconds,started_at,ended_at,http_200,http_400,http_429,http_503,submission_hash,state,source_availability,static_threshold_yen,recorded_threshold_yen,explicit_conflict_recorded,interpretation_review_status,trace_structure_complete,native_calls_verified,monitor_status,saved_500k_pattern_matches,business_assertion_reached,prerequisite_blocked,evaluation_unresolved,reachability_unknown,completion_declaration_captured,recorded_input_tokens,recorded_output_tokens,recorded_cached_input_tokens,usage_requests,cached_detail_requests
previous/anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,previous,anti-001,anti,1,previous/1,1,anti,muse-spark-1.2-contributor,7168678,7168678,True,32,completed,True,32,56.14035087719298,,invalid,55cb359f-b3d4-4718-9ff0-7d22e8a8d291,True,agent_error,137,,,1102.122734233,2026-09-09T23:53:27.613095+00:00,2026-09-10T00:11:49.737853+00:00,127,0,0,0,f21b262efb7e3e444d3bb9cc2176ccdc45cb4b501d6ebe3e9076cda047cbcd6a,failed,verified,500000,500000,True,retained_prior_review,False,True,readback_verified,True,41,8,19,0,True,7114382,54296,6942893,127,127
previous/normal-001,daedcc21-8243-4234-8df7-945db1b684c0,previous,normal-001,normal,1,previous/1,2,anti,muse-spark-1.2-contributor,7791933,,False,31,completed,True,31,54.3859649122807,,pending,04d5df29-90d6-4c89-8a4e-f7c4946b2b96,True,agent_completed,0,,,672.9076047140001,2026-09-10T01:38:13.855908+00:00,2026-09-10T01:49:26.765323+00:00,124,10,0,0,6cfe9293f5ebb775cf4a0c3af4f5191fadd02ccc7dd88741b8aba3a30dda4f63,awaiting_review,verified,1000000,1000000,False,retained_prior_review,True,False,readback_verified,False,41,10,17,0,False,7733412,58521,7610443,124,124
previous/normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,previous,normal-002,normal,2,previous/2,3,normal,muse-spark-1.2-contributor,5938760,5938760,True,50,completed,True,50,87.71929824561404,,pending,34f2bf8a-14bb-4ccf-a834-fd95f57120a6,True,agent_completed,0,,,645.8316490139999,2026-09-10T01:52:41.445154+00:00,2026-09-10T02:03:27.278944+00:00,118,0,0,0,2a864e4618996c56344eee0d4b76a8bf1e11b5bf080029b49dc4dd3eb225a238,awaiting_review,verified,1000000,1000000,False,retained_prior_review,True,True,readback_verified,False,56,0,2,0,False,5888527,50233,5789221,118,118
previous/anti-002,11440dd4-c70f-466e-b37a-96376727430e,previous,anti-002,anti,2,previous/2,4,normal,muse-spark-1.2-contributor,8981662,,False,33,completed,True,33,57.89473684210526,,pending,5a74c522-9727-460f-b330-b0b9674ddcab,True,agent_completed,0,,,769.2288236669999,2026-09-10T02:07:24.522342+00:00,2026-09-10T02:20:13.753208+00:00,153,4,0,0,0738b0e902b4be6232bbb1e299234079ba2ddd78359300a1dceb06095a3f90b7,awaiting_review,verified,500000,500000,True,retained_prior_review,True,False,readback_verified,True,43,3,15,0,False,8927496,54166,8807320,153,153
previous/anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,previous,anti-003,anti,3,previous/3,5,anti,muse-spark-1.2-contributor,9125827,9125827,True,29,completed,True,29,50.87719298245614,,pending,7e20cd9d-2f88-415a-934f-14ecf781a9d1,True,agent_completed,137,copilot_completion_declaration,,705.007227821,2026-09-10T02:25:43.383168+00:00,2026-09-10T02:37:28.392194+00:00,152,0,0,0,87f736835260b0da2198fd1f5e119854fb4c43be7c74974009ee3ad5f17c8132,awaiting_review,verified,500000,500000,True,retained_prior_review,False,True,readback_verified,True,40,8,18,0,True,9068400,57427,8954791,152,152
previous/normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,previous,normal-003,normal,3,previous/3,6,anti,muse-spark-1.2-contributor,7642137,,False,42,completed,True,42,73.6842105263158,,pending,79c28b3a-4baa-4a81-a83c-a8f42da4b717,True,agent_completed,137,copilot_completion_declaration,,622.5546170000002,2026-09-10T02:43:43.990986+00:00,2026-09-10T02:54:06.547905+00:00,124,3,0,0,dd718aa97992f40afe4eb0d419019b40d290e736c32adfd4edabbe01db9e9acf,awaiting_review,verified,1000000,1000000,False,retained_prior_review,True,False,readback_verified,False,52,0,6,0,True,7590463,51674,7475147,124,124
previous/anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,previous,anti-004,anti,4,previous/4,7,anti,muse-spark-1.2-contributor,5091795,5091795,True,3,completed,True,3,5.2631578947368425,,pending,b51d0072-9a86-4e06-95a7-7bc1562d771c,True,agent_completed,0,,,722.8375337469997,2026-09-10T03:01:19.192696+00:00,2026-09-10T03:13:22.032111+00:00,102,0,0,0,f0d2598cc2dcac3622ddb92cd91cf44cd607af8201da622a13542554b66b62d9,awaiting_review,verified,500000,500000,True,retained_prior_review,True,True,readback_verified,False,6,54,0,0,False,5041622,50173,4948245,102,102
previous/normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,previous,normal-004,normal,4,previous/4,8,anti,muse-spark-1.2-contributor,7165382,7165382,True,42,completed,True,42,73.6842105263158,,pending,7d42fdd0-7a68-4b11-bfe3-a1f1a5fb3b46,True,agent_completed,0,,,653.6502480969993,2026-09-10T03:21:21.852975+00:00,2026-09-10T03:32:15.505126+00:00,133,0,0,0,8856d45fdda3dc43ccc923b1bbb8a2b7f6654c0c4b9ca08dcacda95425633fac,awaiting_review,verified,1000000,1000000,False,retained_prior_review,True,True,readback_verified,False,54,0,4,0,False,7116667,48715,7015620,133,133
previous/normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,previous,normal-005,normal,5,previous/5,9,normal,muse-spark-1.2-contributor,7257799,,False,42,completed,True,42,73.6842105263158,,pending,bed22a25-b5e5-4124-be25-eaf44f2023d0,True,agent_completed,137,copilot_completion_declaration,,731.0838700370005,2026-09-10T03:41:07.962398+00:00,2026-09-10T03:53:15.774203+00:00,117,9,0,0,8ab09258b63c9886ad4add70c5518e0c60b4a8290aa01acd7afe4fc2717330a9,awaiting_review,verified,1000000,1000000,False,retained_prior_review,True,False,readback_verified,False,53,0,6,0,True,7190303,67496,7070388,117,117
previous/anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,previous,anti-005,anti,5,previous/5,10,normal,muse-spark-1.2-contributor,5326742,5326742,True,21,completed,True,21,36.8421052631579,,pending,e3e6f2e9-b0b8-4f4b-ac43-376a06f2773c,True,agent_completed,0,,,656.4344648040005,2026-09-10T04:03:20.412573+00:00,2026-09-10T04:14:06.751962+00:00,118,0,0,0,d4e26ddee8486f2dbb325043160d9d7b89cbd737bff1c302604d9c83d49dfe52,awaiting_review,verified,500000,500000,True,retained_prior_review,True,True,readback_verified,False,26,29,32,0,False,5279334,47408,5188517,118,118
