stratum,selection,pairs,token_pairs,score_pairs,token_difference,pass_rate_difference_pp
previous,全ペア,10,10,10,-825262.1,-25.263157894736846
previous,前半,5,5,5,-20261.4,-31.228070175438603
previous,後半,5,5,5,-1630262.8,-19.29824561403509
previous,normal先行,4,4,4,-584654.75,-25.438596491228076
previous,anti先行,6,6,6,-985667,-25.14619883040936
additional,全ペア,20,20,17,-3548118.15,-16.61506707946337
additional,前半,10,10,8,-3500517.6,-12.061403508771932
additional,後半,10,10,9,-3595718.7,-20.66276803118909
additional,normal先行,13,13,10,-4777071.538461538,-7.368421052631581
additional,anti先行,7,7,7,-1265776.142857143,-29.824561403508778
cumulative,全ペア,30,30,27,-2640499.466666667,-19.818063677712804
cumulative,前半,15,15,13,-2340432.2,-19.433198380566804
cumulative,後半,15,15,14,-2940566.7333333334,-20.175438596491233
cumulative,normal先行,17,17,14,-3790620.529411765,-12.531328320802007
cumulative,anti先行,13,13,13,-1136495,-27.665317139001353
