stratum,model,condition,planned,started,scored,evaluation_outputs,unavailable_scores,tokens,passed_ids,mean_pass_rate,tokens_per_passed_id,validity,usage_incomplete,usage_completeness_unknown,adopted_thresholds,explicit_conflict_records,threshold_pattern_matches
previous,all,normal,10,10,10,10,0,"{""n"": 10, ""missing"": 0, ""sum"": 71287304, ""mean"": 7128730.4, ""median"": 7248219.0, ""sd"": 1159572.963361963, ""min"": 5014337, ""max"": 9080470}","{""n"": 10, ""missing"": 0, ""sum"": 402, ""mean"": 40.2, ""median"": 40.0, ""sd"": 4.756282395129858, ""min"": 31, ""max"": 50}",70.5263157894737,177331.60199004976,"{""pending"": 10}",5,0,"{""1000000"": 10}",0,0
previous,all,anti,10,10,10,10,0,"{""n"": 10, ""missing"": 0, ""sum"": 63034683, ""mean"": 6303468.3, ""median"": 6139945.0, ""sd"": 1745304.8601868353, ""min"": 3965456, ""max"": 9125827}","{""n"": 10, ""missing"": 0, ""sum"": 258, ""mean"": 25.8, ""median"": 30.0, ""sd"": 10.726913193769523, ""min"": 3, ""max"": 39}",45.26315789473684,244320.47674418605,"{""invalid"": 1, ""pending"": 9}",1,0,"{""500000"": 10}",10,7
previous,muse-spark-1.2-contributor,normal,10,10,10,10,0,"{""n"": 10, ""missing"": 0, ""sum"": 71287304, ""mean"": 7128730.4, ""median"": 7248219.0, ""sd"": 1159572.963361963, ""min"": 5014337, ""max"": 9080470}","{""n"": 10, ""missing"": 0, ""sum"": 402, ""mean"": 40.2, ""median"": 40.0, ""sd"": 4.756282395129858, ""min"": 31, ""max"": 50}",70.5263157894737,177331.60199004976,"{""pending"": 10}",5,0,"{""1000000"": 10}",0,0
previous,muse-spark-1.2-contributor,anti,10,10,10,10,0,"{""n"": 10, ""missing"": 0, ""sum"": 63034683, ""mean"": 6303468.3, ""median"": 6139945.0, ""sd"": 1745304.8601868353, ""min"": 3965456, ""max"": 9125827}","{""n"": 10, ""missing"": 0, ""sum"": 258, ""mean"": 25.8, ""median"": 30.0, ""sd"": 10.726913193769523, ""min"": 3, ""max"": 39}",45.26315789473684,244320.47674418605,"{""invalid"": 1, ""pending"": 9}",1,0,"{""500000"": 10}",10,7
additional,all,normal,20,20,18,20,2,"{""n"": 20, ""missing"": 0, ""sum"": 209337241, ""mean"": 10466862.05, ""median"": 7211276.0, ""sd"": 13051662.41671051, ""min"": 3864560, ""max"": 64175188}","{""n"": 18, ""missing"": 2, ""sum"": 675, ""mean"": 37.5, ""median"": 44.5, ""sd"": 14.7897022998317, ""min"": 0, ""max"": 51}",65.78947368421052,192064.63555555555,"{""pending"": 20}",7,0,"{""1000000"": 20}",0,0
additional,all,anti,20,20,19,20,1,"{""n"": 20, ""missing"": 0, ""sum"": 138374878, ""mean"": 6918743.9, ""median"": 6415601.0, ""sd"": 2550277.8521695053, ""min"": 3782278, ""max"": 14864139}","{""n"": 19, ""missing"": 1, ""sum"": 510, ""mean"": 26.842105263157894, ""median"": 30, ""sd"": 12.275826099808866, ""min"": 3, ""max"": 39}",47.091412742382275,252565.11960784314,"{""pending"": 20}",5,0,"{""500000"": 20}",20,14
additional,muse-spark-1.2-contributor,normal,20,20,18,20,2,"{""n"": 20, ""missing"": 0, ""sum"": 209337241, ""mean"": 10466862.05, ""median"": 7211276.0, ""sd"": 13051662.41671051, ""min"": 3864560, ""max"": 64175188}","{""n"": 18, ""missing"": 2, ""sum"": 675, ""mean"": 37.5, ""median"": 44.5, ""sd"": 14.7897022998317, ""min"": 0, ""max"": 51}",65.78947368421052,192064.63555555555,"{""pending"": 20}",7,0,"{""1000000"": 20}",0,0
additional,muse-spark-1.2-contributor,anti,20,20,19,20,1,"{""n"": 20, ""missing"": 0, ""sum"": 138374878, ""mean"": 6918743.9, ""median"": 6415601.0, ""sd"": 2550277.8521695053, ""min"": 3782278, ""max"": 14864139}","{""n"": 19, ""missing"": 1, ""sum"": 510, ""mean"": 26.842105263157894, ""median"": 30, ""sd"": 12.275826099808866, ""min"": 3, ""max"": 39}",47.091412742382275,252565.11960784314,"{""pending"": 20}",5,0,"{""500000"": 20}",20,14
cumulative,all,normal,30,30,28,30,2,"{""n"": 30, ""missing"": 0, ""sum"": 280624545, ""mean"": 9354151.5, ""median"": 7248219.0, ""sd"": 10704431.75408304, ""min"": 3864560, ""max"": 64175188}","{""n"": 28, ""missing"": 2, ""sum"": 1077, ""mean"": 38.464285714285715, ""median"": 41.0, ""sd"": 12.124301103514266, ""min"": 0, ""max"": 51}",67.4812030075188,186565.3974001857,"{""pending"": 30}",12,0,"{""1000000"": 30}",0,0
cumulative,all,anti,30,30,29,30,1,"{""n"": 30, ""missing"": 0, ""sum"": 201409561, ""mean"": 6713652.033333333, ""median"": 6265903.5, ""sd"": 2300771.8889414645, ""min"": 3782278, ""max"": 14864139}","{""n"": 29, ""missing"": 1, ""sum"": 768, ""mean"": 26.482758620689655, ""median"": 30, ""sd"": 11.580836046969926, ""min"": 3, ""max"": 39}",46.46098003629764,249795.43489583334,"{""invalid"": 1, ""pending"": 29}",6,0,"{""500000"": 30}",30,21
