metric,statistic,normal_n,anti_n,normal_minus_anti,lower,upper,resamples,seed,unit
recorded_total_tokens,mean,30,30,2640499.466666667,-166007.3508333332,7149237.943333327,20000,20260911,"Run within condition, independently resampled"
recorded_total_tokens,median,30,30,982315.5,-219881.3749999999,2025033.4874999998,20000,20260911,"Run within condition, independently resampled"
recorded_total_tokens,trimmed_mean_10pct,30,30,891614.041666667,-328406.9562499997,2668380.0979166585,20000,20260911,"Run within condition, independently resampled"
pass_rate,mean,28,29,21.020222971221166,10.193587416817913,31.45595670210007,20000,20260911,"Run within condition, independently resampled"
pass_rate,median,28,29,19.29824561403509,12.280701754385973,29.824561403508774,20000,20260911,"Run within condition, independently resampled"
pass_rate,trimmed_mean_10pct,28,29,22.32163742690058,10.605263157894747,33.12288011695906,20000,20260911,"Run within condition, independently resampled"
usage_requests,mean,30,30,22.39999999999999,-1.9341666666666697,57.53416666666661,20000,20260911,"Run within condition, independently resampled"
usage_requests,median,30,30,9.5,-6.0,28.5,20000,20260911,"Run within condition, independently resampled"
usage_requests,trimmed_mean_10pct,30,30,10.749999999999986,-5.083333333333343,28.79166666666667,20000,20260911,"Run within condition, independently resampled"
tokens_per_recorded_request,mean,30,30,3669.3156786806794,-1482.6951008866329,9669.410587473136,20000,20260911,"Run within condition, independently resampled"
tokens_per_recorded_request,median,30,30,365.3588294944202,-2800.1133918391397,5182.8863159472385,20000,20260911,"Run within condition, independently resampled"
tokens_per_recorded_request,trimmed_mean_10pct,30,30,1928.5477207558215,-1822.5029679990357,6901.857286855419,20000,20260911,"Run within condition, independently resampled"
