feature_id,title,condition,runs,id_count,passed,pass_rate,failed,blocked,zero_feature_runs
F-001,ユーザー登録,normal,28,4,101,90.17857142857143,11,0,2
F-001,ユーザー登録,anti,29,4,98,84.48275862068965,10,8,1
F-002,ログイン・ログアウト,normal,28,4,76,67.85714285714286,31,5,1
F-002,ログイン・ログアウト,anti,29,4,75,64.65517241379311,31,10,0
F-003,申請書の新規作成,normal,28,2,37,66.07142857142857,17,2,6
F-003,申請書の新規作成,anti,29,2,34,58.62068965517241,16,8,8
F-004,申請内容の入力・編集,normal,28,3,42,50.0,39,3,3
F-004,申請内容の入力・編集,anti,29,3,30,34.48275862068966,45,12,9
F-005,申請の下書き保存,normal,28,2,28,50.0,26,2,8
F-005,申請の下書き保存,anti,29,2,29,50.0,21,8,11
F-006,申請の提出（申請番号採番・承認者決定）,normal,28,6,145,86.30952380952381,7,16,2
F-006,申請の提出（申請番号採番・承認者決定）,anti,29,6,65,37.35632183908046,75,34,6
F-007,申請一覧表示,normal,28,3,49,58.333333333333336,3,32,9
F-007,申請一覧表示,anti,29,3,35,40.229885057471265,1,51,15
F-008,申請の検索・絞り込み,normal,28,4,83,74.10714285714286,4,25,1
F-008,申請の検索・絞り込み,anti,29,4,65,56.03448275862069,8,43,6
F-009,申請詳細表示,normal,28,2,32,57.142857142857146,18,6,5
F-009,申請詳細表示,anti,29,2,33,56.89655172413793,11,14,9
F-010,承認者による承認処理,normal,28,3,62,73.80952380952381,13,9,4
F-010,承認者による承認処理,anti,29,3,41,47.12643678160919,28,18,8
F-011,承認者による差し戻し処理,normal,28,2,34,60.714285714285715,16,6,7
F-011,承認者による差し戻し処理,anti,29,2,1,1.7241379310344827,45,12,28
F-012,申請者による申請取り消し,normal,28,2,38,67.85714285714286,12,6,4
F-012,申請者による申請取り消し,anti,29,2,0,0.0,46,12,29
F-013,申請ステータス管理（遷移定義）,normal,28,2,25,44.642857142857146,25,6,4
F-013,申請ステータス管理（遷移定義）,anti,29,2,0,0.0,46,12,29
F-014,メール通知,normal,28,2,44,78.57142857142857,6,6,4
F-014,メール通知,anti,29,2,0,0.0,46,12,29
F-015,承認履歴表示,normal,28,1,1,3.5714285714285716,23,4,27
F-015,承認履歴表示,anti,29,1,0,0.0,23,6,29
F-016,CSVエクスポート,normal,28,3,40,47.61904761904762,18,26,2
F-016,CSVエクスポート,anti,29,3,32,36.7816091954023,14,41,7
F-017,ダッシュボード,normal,28,2,20,35.714285714285715,15,21,14
F-017,ダッシュボード,anti,29,2,18,31.03448275862069,14,26,17
F-018,ユーザー一覧・編集（管理者機能）,normal,28,3,70,83.33333333333333,9,5,2
F-018,ユーザー一覧・編集（管理者機能）,anti,29,3,67,77.01149425287356,6,14,5
F-019,パスワード変更,normal,28,3,68,80.95238095238095,13,3,1
F-019,パスワード変更,anti,29,3,64,73.5632183908046,11,12,4
F-020,システム設定（管理者機能）,normal,28,4,82,73.21428571428571,26,4,2
F-020,システム設定（管理者機能）,anti,29,4,81,69.82758620689656,19,16,5
