test_id,feature_id,title,normal_n,normal_passed,normal_rate,normal_fail,normal_blocked,normal_error,anti_n,anti_passed,anti_rate,anti_fail,anti_blocked,anti_error,mean_ID_gap
T-001-01,F-001,🟢 正常系: ユーザー新規登録,28,24,0.8571428571428571,4,0,0,29,21,0.7241379310344828,4,4,0,0.13300492610837433
T-001-02,F-001,🔴 異常系: メールアドレス重複エラー,28,25,0.8928571428571429,3,0,0,29,23,0.7931034482758621,2,4,0,0.0997536945812808
T-001-03,F-001,🔴 異常系: パスワード強度不足エラー,28,26,0.9285714285714286,2,0,0,29,27,0.9310344827586207,2,0,0,-0.0024630541871920597
T-001-04,F-001,🔴 異常系: パスワード不一致エラー,28,26,0.9285714285714286,2,0,0,29,27,0.9310344827586207,2,0,0,-0.0024630541871920597
T-002-01,F-002,🟢 正常系: ログイン成功,28,18,0.6428571428571429,7,3,0,29,18,0.6206896551724138,9,2,0,0.022167487684729092
T-002-02,F-002,🟢 正常系: ログアウト成功,28,4,0.14285714285714285,23,1,0,29,3,0.10344827586206896,22,4,0,0.039408866995073885
T-002-03,F-002,🔴 異常系: 認証失敗,28,27,0.9642857142857143,0,1,0,29,25,0.8620689655172413,0,4,0,0.10221674876847298
T-002-04,F-002,🔴 異常系: アカウントロック,28,27,0.9642857142857143,1,0,0,29,29,1.0,0,0,0,-0.0357142857142857
T-003-01,F-003,🟢 正常系: 申請種別選択と入力フォーム表示,28,22,0.7857142857142857,5,1,0,29,21,0.7241379310344828,4,4,0,0.061576354679802936
T-003-02,F-003,🔴 異常系: 申請種別未選択エラー,28,15,0.5357142857142857,12,1,0,29,13,0.4482758620689655,12,4,0,0.08743842364532017
T-004-01,F-004,🟢 正常系: 申請内容の入力,28,21,0.75,6,1,0,29,17,0.5862068965517241,8,4,0,0.1637931034482759
T-004-02,F-004,🔴 異常系: 申請金額範囲外エラー,28,19,0.6785714285714286,8,1,0,29,12,0.41379310344827586,13,4,0,0.26477832512315275
T-004-03,F-004,🔴 異常系: ファイルサイズ超過エラー,28,2,0.07142857142857142,25,1,0,29,1,0.034482758620689655,24,4,0,0.03694581280788177
T-005-01,F-005,🟢 正常系: 下書き保存,28,18,0.6428571428571429,9,1,0,29,16,0.5517241379310345,9,4,0,0.09113300492610843
T-005-02,F-005,🟢 正常系: 下書き再編集,28,10,0.35714285714285715,17,1,0,29,13,0.4482758620689655,12,4,0,-0.09113300492610837
T-006-01,F-006,🟢 正常系: 申請提出（課長承認ルート）,28,24,0.8571428571428571,1,3,0,29,0,0.0,23,6,0,0.8571428571428571
T-006-02,F-006,🟢 正常系: 申請提出（部長承認ルート）,28,23,0.8214285714285714,2,3,0,29,21,0.7241379310344828,2,6,0,0.09729064039408863
T-006-03,F-006,"🟡 境界値テスト: 承認ルート境界値（999,999円 → 課長）",28,24,0.8571428571428571,1,3,0,29,0,0.0,23,6,0,0.8571428571428571
T-006-04,F-006,"🟡 境界値テスト: 承認ルート境界値（1,000,000円 → 部長）",28,24,0.8571428571428571,1,3,0,29,21,0.7241379310344828,2,6,0,0.13300492610837433
T-006-05,F-006,"🟡 境界値テスト: 承認ルート境界値（999,998円・1,000,001円）",28,24,0.8571428571428571,1,3,0,29,0,0.0,23,6,0,0.8571428571428571
T-006-06,F-006,🔴 異常系: 必須項目未入力での提出エラー,28,26,0.9285714285714286,1,1,0,29,23,0.7931034482758621,2,4,0,0.1354679802955665
T-007-01,F-007,🟢 正常系: 申請一覧表示（一般ユーザー）,28,17,0.6071428571428571,0,11,0,29,13,0.4482758620689655,0,16,0,0.15886699507389157
T-007-02,F-007,🟢 正常系: 申請一覧表示（課長）,28,19,0.6785714285714286,0,9,0,29,13,0.4482758620689655,0,16,0,0.23029556650246308
T-007-03,F-007,🟢 正常系: ページネーション,28,13,0.4642857142857143,3,12,0,29,9,0.3103448275862069,1,19,0,0.1539408866995074
T-008-01,F-008,🟢 正常系: キーワード検索,28,16,0.5714285714285714,0,12,0,29,10,0.3448275862068966,1,18,0,0.22660098522167482
T-008-02,F-008,🟢 正常系: ステータスで絞り込み,28,16,0.5714285714285714,1,11,0,29,11,0.3793103448275862,1,17,0,0.1921182266009852
T-008-03,F-008,🔴 異常系: 日付範囲不正エラー,28,24,0.8571428571428571,3,1,0,29,22,0.7586206896551724,3,4,0,0.09852216748768472
T-008-04,F-008,🟢 正常系: 検索結果0件,28,27,0.9642857142857143,0,1,0,29,22,0.7586206896551724,3,4,0,0.20566502463054193
T-009-01,F-009,🟢 正常系: 申請詳細表示（申請者本人）,28,9,0.32142857142857145,17,2,0,29,14,0.4827586206896552,9,6,0,-0.16133004926108374
T-009-02,F-009,🔴 異常系: 他ユーザーの申請詳細へのアクセス拒否,28,23,0.8214285714285714,1,4,0,29,19,0.6551724137931034,2,8,0,0.16625615763546797
T-010-01,F-010,🟢 正常系: 課長による承認,28,14,0.5,11,3,0,29,0,0.0,23,6,0,0.5
T-010-02,F-010,🟢 正常系: 部長による承認,28,24,0.8571428571428571,1,3,0,29,20,0.6896551724137931,3,6,0,0.16748768472906395
T-010-03,F-010,🔴 異常系: 承認権限のないユーザーによる承認不可,28,24,0.8571428571428571,1,3,0,29,21,0.7241379310344828,2,6,0,0.13300492610837433
T-011-01,F-011,🟢 正常系: 差し戻し処理,28,14,0.5,11,3,0,29,0,0.0,23,6,0,0.5
T-011-02,F-011,🔴 異常系: 差し戻しコメント未入力エラー,28,20,0.7142857142857143,5,3,0,29,1,0.034482758620689655,22,6,0,0.6798029556650247
T-012-01,F-012,🟢 正常系: 承認待ち申請の取り消し,28,14,0.5,11,3,0,29,0,0.0,23,6,0,0.5
T-012-02,F-012,🔴 異常系: 承認済み申請の取り消し不可,28,24,0.8571428571428571,1,3,0,29,0,0.0,23,6,0,0.8571428571428571
T-013-01,F-013,🟢 正常系: 差し戻し申請の再提出,28,1,0.03571428571428571,24,3,0,29,0,0.0,23,6,0,0.03571428571428571
T-013-02,F-013,🔴 異常系: 不正なステータス遷移,28,24,0.8571428571428571,1,3,0,29,0,0.0,23,6,0,0.8571428571428571
T-014-01,F-014,🟢 正常系: 申請提出時の承認者へのメール通知,28,20,0.7142857142857143,5,3,0,29,0,0.0,23,6,0,0.7142857142857143
T-014-02,F-014,🟢 正常系: 承認完了時の申請者へのメール通知,28,24,0.8571428571428571,1,3,0,29,0,0.0,23,6,0,0.8571428571428571
T-015-01,F-015,🟢 正常系: 承認履歴の表示,28,1,0.03571428571428571,23,4,0,29,0,0.0,23,6,0,0.03571428571428571
T-016-01,F-016,🟢 正常系: CSVエクスポート,28,0,0.0,17,11,0,29,0,0.0,12,17,0,0.0
T-016-02,F-016,🟢 正常系: 検索条件を絞り込んだCSVエクスポート,28,14,0.5,1,13,0,29,10,0.3448275862068966,2,17,0,0.15517241379310343
T-016-03,F-016,🔴 異常系: 一般ユーザーによるCSVエクスポート権限エラー,28,26,0.9285714285714286,0,2,0,29,22,0.7586206896551724,0,7,0,0.16995073891625623
T-017-01,F-017,🟢 正常系: 一般ユーザーのダッシュボード表示,28,6,0.21428571428571427,13,9,0,29,8,0.27586206896551724,12,9,0,-0.061576354679802964
T-017-02,F-017,🟢 正常系: 課長のダッシュボード表示,28,14,0.5,2,12,0,29,10,0.3448275862068966,2,17,0,0.15517241379310343
T-018-01,F-018,🟢 正常系: ユーザー情報編集,28,22,0.7857142857142857,3,3,0,29,21,0.7241379310344828,2,6,0,0.061576354679802936
T-018-02,F-018,🔴 異常系: 自分自身の無効化エラー,28,23,0.8214285714285714,4,1,0,29,23,0.7931034482758621,2,4,0,0.028325123152709297
T-018-03,F-018,🔴 異常系: 一般ユーザーによるユーザー管理アクセス拒否,28,25,0.8928571428571429,2,1,0,29,23,0.7931034482758621,2,4,0,0.0997536945812808
T-019-01,F-019,🟢 正常系: パスワード変更成功,28,14,0.5,13,1,0,29,14,0.4827586206896552,11,4,0,0.017241379310344807
T-019-02,F-019,🔴 異常系: 現在のパスワード不一致エラー,28,27,0.9642857142857143,0,1,0,29,25,0.8620689655172413,0,4,0,0.10221674876847298
T-019-03,F-019,🔴 異常系: 同一パスワード設定エラー,28,27,0.9642857142857143,0,1,0,29,25,0.8620689655172413,0,4,0,0.10221674876847298
T-020-01,F-020,🟢 正常系: システム設定の変更,28,20,0.7142857142857143,7,1,0,29,20,0.6896551724137931,5,4,0,0.024630541871921152
T-020-02,F-020,🟢 正常系: SMTPテスト送信,28,26,0.9285714285714286,1,1,0,29,23,0.7931034482758621,2,4,0,0.1354679802955665
T-020-03,F-020,🔴 異常系: セッションタイムアウト範囲外エラー,28,20,0.7142857142857143,7,1,0,29,20,0.6896551724137931,5,4,0,0.024630541871921152
T-020-04,F-020,🔴 異常系: 一般ユーザーによるシステム設定アクセス拒否,28,16,0.5714285714285714,11,1,0,29,18,0.6206896551724138,7,4,0,-0.049261083743842415
