label,run_id,condition,model_id,recorded_total_tokens,source_total_tokens,source_usage_complete,evaluation_outcome,evaluation_validity,effective_quality,evaluation_uuid,submission_hash,raw_end_reason,exit_code,elapsed_seconds,completion_declaration_captured,static_threshold_yen,recorded_threshold_yen,explicit_conflict_recorded,business_assertion_reached,prerequisite_blocked,evaluation_unresolved,reachability_unknown,recorded_input_tokens,recorded_output_tokens,recorded_cached_input_tokens,usage_requests,cached_detail_requests,http_200,http_400,http_429,http_503,score_available,passed_ids,pass_rate,source_passed_ids,source_failed_cases,source_blocked_cases,tokens_per_recorded_request
N-00f64f,00f64f52-6070-4f28-9070-cc52bdf4de13,normal,muse-spark-1.2-contributor,5155785,5155785,True,completed,pending,,4922d5a7-60a4-457b-87d1-0e5de58f3361,c991a37db91633a509a07de9fd5c9e77ed10c2b321064bdc81a9aa754dfe837e,agent_completed,137,715.3195311970003,True,1000000,1000000,False,53,0,5,0,5103392,52393,5004497,98,98,98,0,0,0,True,44,77.19298245614036,44,13,0,52610.051020408166
N-09dbce,09dbcec8-c9c3-49ec-921c-766894607e07,normal,muse-spark-1.2-contributor,5014337,5014337,True,completed,pending,,ed0e4c75-c806-491e-b474-710e2a602912,fe1f8f87e8ee60a5221ee0de9b8da45cdf2e724707aadc9c526f3cf0915c5087,agent_completed,137,648.0386382529996,True,1000000,1000000,False,47,8,12,0,4967905,46432,4877913,106,106,106,0,0,0,True,40,70.17543859649123,40,9,8,47305.06603773585
A-11440d,11440dd4-c70f-466e-b37a-96376727430e,anti,muse-spark-1.2-contributor,8981662,,False,completed,pending,,5a74c522-9727-460f-b330-b0b9674ddcab,0738b0e902b4be6232bbb1e299234079ba2ddd78359300a1dceb06095a3f90b7,agent_completed,0,769.2288236669999,False,500000,500000,True,43,3,15,0,8927496,54166,8807320,153,153,153,4,0,0,True,33,57.89473684210526,33,21,3,58703.67320261438
A-133cba,133cba3d-7333-4f8a-be4f-f44b8e93e154,anti,muse-spark-1.2-contributor,7340607,,False,completed,pending,,c763cade-9714-46fb-9e14-48728ba072c7,3edf4183ffafc986f600f3cd7818609b26c8df23c9e558e53bb6bbd0a576c1cf,agent_completed,0,604.5483914639999,False,500000,500000,True,40,9,18,0,7295664,44943,7180747,124,124,124,4,0,0,True,29,50.87719298245614,29,19,9,59198.4435483871
A-15c9af,15c9af27-f25b-43b4-a75c-409991b14a37,anti,muse-spark-1.2-contributor,4806861,4806861,True,completed,pending,,b9468858-c8d8-442d-ae0a-594003d287ca,d3a1089277c143b8781d85eec011f7185bb88eba9c551c82cc80f701ededc603,agent_completed,0,693.9527767220006,False,500000,500000,True,39,8,19,0,4752321,54540,4650080,97,97,97,0,0,0,True,26,45.6140350877193,26,23,8,49555.26804123711
N-1e69ea,1e69ea5e-7f7f-40e3-b95b-94663edf4734,normal,muse-spark-1.2-contributor,3864560,3864560,True,completed,pending,,6c439cb9-6403-4b33-b8e9-a0ede7468821,440ce9e893fcc851f341559c1d26ba3ff3a5789c9d645a706008b9b73dc5c19a,agent_completed,0,580.3690495599999,False,1000000,1000000,False,48,0,10,0,3822990,41570,3741799,88,88,88,0,0,0,True,37,64.91228070175438,37,20,0,43915.454545454544
A-256a2b,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,muse-spark-1.2-contributor,7168678,7168678,True,completed,invalid,,55cb359f-b3d4-4718-9ff0-7d22e8a8d291,f21b262efb7e3e444d3bb9cc2176ccdc45cb4b501d6ebe3e9076cda047cbcd6a,agent_error,137,1102.122734233,True,500000,500000,True,41,8,19,0,7114382,54296,6942893,127,127,127,0,0,0,True,32,56.14035087719298,32,17,8,56446.28346456693
A-25a01c,25a01c2b-cf66-4053-848c-9af10ef2ef81,anti,muse-spark-1.2-contributor,10679074,,False,completed,pending,,9d0b59f4-aea9-4110-b1b5-78ea84266b2c,fab9ae917395a995174261e4d1b0d125ebf19225e993acf0f4605a8ff69a1808,agent_completed,137,865.826889192,True,500000,500000,True,6,54,0,0,10615928,63146,10487539,164,164,164,6,0,0,True,3,5.2631578947368425,3,1,54,65116.30487804878
N-2645ec,2645ec0d-e014-4d99-96ce-ec0b0dc714fb,normal,muse-spark-1.2-contributor,7333748,,False,completed,pending,,8fac4a65-6ccb-43ce-b510-0cb219b6ddec,cc7e020f53cafe5932406f2877b7aa4f3b976a4b7253225bcde0ed7f9fbea6df,agent_completed,0,752.8965338790003,False,1000000,1000000,False,54,0,5,0,7282154,51594,7167119,128,128,128,1,0,0,True,47,82.45614035087719,47,10,0,57294.90625
A-3528ca,3528ca0e-fdcd-49f7-bedd-4e4826f9c3fd,anti,muse-spark-1.2-contributor,5537808,5537808,True,completed,pending,,d8788ec3-674c-40ab-9c91-459c4fdd6e0a,d7b2c609ae4c96c315564e35c5b4af0904acd950417f98de75739033fad3344b,agent_completed,0,651.486668128,True,500000,500000,True,50,0,8,0,5484533,53275,5372256,97,97,97,0,0,0,True,39,68.42105263157895,39,18,0,57090.80412371134
A-38fba7,38fba73c-e82c-49e2-9dd4-3fca7d63bdfd,anti,muse-spark-1.2-contributor,8751236,8751236,True,completed,pending,,72df94ab-b14d-4c6d-bf5c-b120217f3b21,9e5c43e27f6ecc588b1117b774bf45e9ee6108d107848aa64f03bff86011a079,agent_completed,137,1102.721628065,True,500000,500000,True,6,54,0,0,8701669,49567,8592860,157,157,157,0,0,0,True,3,5.2631578947368425,3,1,54,55740.35668789809
