label,run_id,recorded_request,input_tokens,output_tokens,cached_input_tokens,total_tokens,cumulative_tokens,event_id,timestamp,source_line
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,1,6263,124,0,6387,6387,c5ee1fbb-4ca8-4eb4-9c0c-3dd7c438ba90,2026-09-10T16:08:06.813671+00:00,1
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,2,8326,46,6257,8372,14759,f62b5926-fe82-4057-93f6-8fe34ae7ea0e,2026-09-10T16:08:08.825442+00:00,2
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,3,8426,88,8305,8514,23273,ea5e5988-352a-4124-ba48-2c14de805cc1,2026-09-10T16:08:10.230495+00:00,3
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,4,8581,64,8305,8645,31918,b20a232d-dfe1-45e5-98d5-ca56591d4f86,2026-09-10T16:08:11.857395+00:00,4
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,5,10390,64,8561,10454,42372,96087244-6d5a-435f-887b-c491afe66461,2026-09-10T16:08:13.201388+00:00,5
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,6,12144,64,10353,12208,54580,7e94b930-890e-45b6-baeb-9c039ce586a8,2026-09-10T16:08:14.732723+00:00,6
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,7,14005,64,12017,14069,68649,32552770-1152-4b07-a6a0-a71103f82443,2026-09-10T16:08:16.065622+00:00,7
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,8,16078,249,13937,16327,84976,3db1c7d2-ed4b-4b3c-b8a0-4c1f51014c92,2026-09-10T16:08:17.494604+00:00,8
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,9,16359,82,15985,16441,101417,6178c9d3-00fa-4775-8d1e-be2e05d0fe20,2026-09-10T16:08:21.439358+00:00,9
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,10,16495,92,16241,16587,118004,6862df15-d037-455b-bfd6-a2b8e80a7e1b,2026-09-10T16:08:23.579358+00:00,10
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,11,16619,104,16369,16723,134727,3c438f6c-f3e0-4c19-ada3-4d16637c6ccc,2026-09-10T16:08:25.311442+00:00,11
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,12,16755,1803,16497,18558,153285,fcea7850-a21b-45bd-9c75-400f74655c62,2026-09-10T16:08:27.514358+00:00,12
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,13,18641,97,16753,18738,172023,f9899bb8-df58-4692-ab73-875ac4c501f5,2026-09-10T16:08:49.891844+00:00,13
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,14,18890,48,18545,18938,190961,85800390-04e3-4311-a9bd-f085f82df6c1,2026-09-10T16:08:59.021978+00:00,14
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,15,19081,75,18801,19156,210117,8838a38f-bd86-476f-8a3e-c3b4f69dd169,2026-09-10T16:09:00.405896+00:00,15
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,16,19534,227,19057,19761,229878,1c926547-a53f-4e6c-9564-2adbfe78017a,2026-09-10T16:09:02.173543+00:00,16
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,17,20533,155,19441,20688,250566,7fe665b5-bdfa-429f-955f-69cdaf309f36,2026-09-10T16:09:31.655669+00:00,17
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,18,21370,131,20465,21501,272067,508cd34f-4e5e-41ec-8e10-ea63896a0862,2026-09-10T16:09:34.768143+00:00,18
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,19,21533,122,21361,21655,293722,ed228e93-bf4e-48d8-9504-21ec9c97a160,2026-09-10T16:09:36.946406+00:00,19
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,20,21971,225,21489,22196,315918,fd92ffc8-528e-4b31-8bfb-b0d547e65fd6,2026-09-10T16:09:39.903913+00:00,20
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,21,22640,171,21873,22811,338729,9c6fecaa-7720-4609-b26e-d7edb606fc84,2026-09-10T16:09:43.994839+00:00,21
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,22,22885,304,22513,23189,361918,d2b226f7-1407-4eea-af69-4bc0f60e3f4c,2026-09-10T16:09:46.019287+00:00,22
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,23,23252,48,22769,23300,385218,3c0db0e0-efdb-4f10-8900-0fbff590a55b,2026-09-10T16:09:49.100927+00:00,23
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,24,23443,440,23153,23883,409101,a2d7b4a5-92f9-46f6-90fe-a7e1b084a0b7,2026-09-10T16:09:50.656568+00:00,24
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,25,23920,101,23409,24021,433122,72d2c57f-e3d7-4e74-aa59-8e6659241a10,2026-09-10T16:09:57.733904+00:00,25
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,26,24094,382,23793,24476,457598,6a433934-75ff-451e-bc2d-60a19fd6db37,2026-09-10T16:09:59.776388+00:00,26
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,27,24507,85,24049,24592,482190,05fdcf96-3275-40ff-a694-bad88051fa73,2026-09-10T16:10:03.510731+00:00,27
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,28,24881,249,24433,25130,507320,cc5bca79-e099-427c-a877-131bdba92898,2026-09-10T16:10:23.585245+00:00,28
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,29,25231,444,24817,25675,532995,c0ef026b-1a0a-4ca7-8fed-5ea5680733ee,2026-09-10T16:10:27.318876+00:00,29
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,30,25706,83,25201,25789,558784,eec3d17d-49d2-437d-beed-c4b7c7dc51f3,2026-09-10T16:10:30.617288+00:00,30
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,31,25885,579,25585,26464,585248,d2e6e7c7-a6e3-4e99-994d-79a5d4c98b75,2026-09-10T16:10:38.837648+00:00,31
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,32,26760,131,25841,26891,612139,50f8b12c-aa4c-4be5-8832-0400d39449bd,2026-09-10T16:10:48.083652+00:00,32
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,33,26963,726,26737,27689,639828,f9f743a5-03c1-466e-84f5-51eb503e4718,2026-09-10T16:10:50.838520+00:00,33
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,34,27723,334,26865,28057,667885,519cc4ae-ef41-4a27-8c3d-10fa9ad1525c,2026-09-10T16:10:56.376559+00:00,34
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,35,28092,169,27633,28261,696146,fa7cc2fa-070a-46f7-8393-e9373efc8e4b,2026-09-10T16:10:59.474429+00:00,35
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,36,28296,181,28017,28477,724623,a4937f93-2873-441d-aec2-06aa21e0fb62,2026-09-10T16:11:03.004918+00:00,36
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,37,28513,205,28273,28718,753341,e8ce6f74-6ff9-481d-8a48-a5b8d5202a7f,2026-09-10T16:11:07.215180+00:00,37
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,38,28753,157,28401,28910,782251,f494c575-4c72-46a6-a0b8-7495d1de9ccd,2026-09-10T16:11:11.392791+00:00,38
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,39,28945,262,28657,29207,811458,5590d045-231f-46e6-b39f-7d385572b8ac,2026-09-10T16:11:15.340877+00:00,39
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,40,29242,333,28913,29575,841033,fec6770f-8c6a-41c6-948d-a83c5ae471c0,2026-09-10T16:11:19.745341+00:00,40
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,41,29612,330,29169,29942,870975,7f19772c-54d8-4a11-8ea6-cdb01abe686f,2026-09-10T16:11:23.059152+00:00,41
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,42,29978,450,29553,30428,901403,372cc5db-439d-4428-9b31-ad20dd53129e,2026-09-10T16:11:26.243509+00:00,42
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,43,30464,239,29937,30703,932106,a476844c-cffe-4c92-9d3c-d2abfcfbc9d4,2026-09-10T16:11:30.725397+00:00,43
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,44,30739,2127,30449,32866,964972,781a5807-4659-40c4-8477-c44d936cb72d,2026-09-10T16:11:33.170819+00:00,44
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,45,32902,1557,30705,34459,999431,30f014fc-2850-49d0-9f59-6facd4aa8c25,2026-09-10T16:11:45.417377+00:00,45
N-cf6129,cf61291c-7b69-4c30-880e-0d7c8a036a2f,46,34495,1005,32881,35500,1034931,3e43b5a8-bd6c-430c-864d-0b6e5ba17834,2026-09-10T16:11:53.861032+00:00,46
