selection,condition,runs,scored,mean_tokens,median_tokens,mean_pass_rate
all_recorded,normal,30,28,9354151.5,7248219.0,67.4812030075188
all_recorded,anti,30,29,6713652.033333333,6265903.5,46.46098003629764
without_largest_token_run,normal,29,28,7463770.931034483,7238639.0,67.4812030075188
without_largest_token_run,anti,30,29,6713652.033333333,6265903.5,46.46098003629764
score_available_only,normal,28,28,7176104.75,7202010.5,67.4812030075188
score_available_only,anti,29,29,6615272.206896552,6200432.0,46.46098003629764
exclude_invalid_adjudication,normal,30,28,9354151.5,7248219.0,67.4812030075188
exclude_invalid_adjudication,anti,29,28,6697961.482758621,6200432.0,46.11528822055138
source_usage_complete_only,normal,18,18,6041430.222222222,6052355.0,64.13255360623782
source_usage_complete_only,anti,24,23,6246455.083333333,6139945.0,45.76659038901602
