condition,metric,n,sum,mean,median,q1,q3,sd,min,max,trimmed_mean_10pct
normal,recorded_total_tokens,30,280624545.0,9354151.5,7248219.0,5351528.75,8626892.75,10704431.75408304,3864560.0,64175188.0,7317257.375
normal,passed_ids,28,1077.0,38.464285714285715,41.0,37.75,46.0,12.124301103514265,0.0,51.0,40.083333333333336
normal,pass_rate,28,1889.4736842105265,67.4812030075188,71.9298245614035,66.2280701754386,80.70175438596492,21.270703690375907,0.0,89.47368421052632,70.32163742690058
normal,usage_requests,30,4277.0,142.56666666666666,128.0,107.75,150.5,81.55162669188122,88.0,549.0,129.04166666666666
normal,tokens_per_recorded_request,30,1757615.925353965,58587.19751179883,54447.0,51935.670056497176,61256.49355105747,14291.117135237795,43915.454545454544,116894.69581056466,56101.04970818141
normal,elapsed_seconds,30,27488.972371689,916.2990790563,711.3729334615,644.802562175248,880.3110457622502,652.1341516265466,457.1234462279999,3340.3755708709996,748.5670827127915
anti,recorded_total_tokens,30,201409561.0,6713652.033333333,6265903.5,5150531.75,7359576.75,2300771.8889414645,3782278.0,14864139.0,6425643.333333333
anti,passed_ids,29,768.0,26.482758620689655,30.0,24.0,34.0,11.580836046969926,3.0,39.0,27.36
anti,pass_rate,29,1347.3684210526314,46.460980036297634,52.63157894736842,42.10526315789474,59.64912280701754,20.317256222754256,5.2631578947368425,68.42105263157895,48.0
anti,usage_requests,30,3605.0,120.16666666666667,118.5,98.25,129.25,27.296688359621548,78.0,181.0,118.29166666666667
anti,tokens_per_recorded_request,30,1647536.4549935446,54917.881833118154,54081.64117050558,51110.84680407596,56983.295400475814,6803.898274240181,45141.8813559322,82122.31491712708,54172.50198742559
anti,elapsed_seconds,30,23126.551133837995,770.8850377945998,707.7443182104998,647.2964105455001,772.2204973492499,238.8705782357373,490.04248809899946,1513.8398115610003,723.6200639627499
